p1_name,p2_name,y_true,y_pred_catboost,abs_error,consistency_confidence,density_confidence,combined_confidence,neighbor_target_std,mean_neighbor_distance,local_mean_target
nikhil bhandare / animesh kejriwal,vishal jatia/ anant veer,25.0,9.0,16.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
koen hageraats / joerg kanonenberg,julien castel / leon sam,30.0,18.0,12.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
pauline cavé / adeline kilchenmann,stephanie chung / holly ranson,24.0,19.0,5.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
lam niloufer,renu dalal,-21.0,-17.0,4.0,0.03600603639157644,0.127708498908706,0.05893165202085883,26.773120849090418,6.8303324253686695,-5.0
sejal haribhakti mody,svetlana kasilova,-63.0,-47.0,16.0,0.07103167595517203,0.12998085517085597,0.08576897075909301,13.078226179417452,6.693440689288662,7.4
charvi singh,jyyotsna sanghi,37.0,36.0,1.0,0.09271532142444126,0.1383235675096977,0.10411738294575537,9.785703858180055,6.2294260334913005,15.2
riya arolkar,shivani jotshi,40.0,42.0,2.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
bani singh,sarvapriya jhawar,-36.0,-34.0,2.0,0.04715880043360005,0.1582756786286214,0.07493801998235539,20.204949888579282,5.318090111282374,-13.4
lalit mohan deo/ roshan mishra,manish bhati / homiyar dumasia,-3.0,-7.0,4.0,0.03942099847632913,0.08792184607584727,0.051546210376208663,24.36719105682885,10.373737525225904,-24.2
mansoor jabalpurwala / murtaza misri,vikramaditya chaufla/ nikhil mansukhani,-21.0,-29.0,8.0,0.06583218915977944,0.08077795567909984,0.06956863078960954,14.190137420053407,11.379615101583164,0.2
raghav jatia/ vishal jatia,sanjeev kumar / ashutosh avinash pednekar,-34.0,-23.0,11.0,0.04413942280071515,0.1403025222007003,0.06818019765071144,21.655484293822663,6.127455617437279,3.2
julien castel / leon sam,dmitry dubovenko / sergei seregin,34.0,34.0,0.0,0.06926521288590254,0.12608114225811096,0.08346919522895464,13.43726162579266,6.9314002244111865,-14.2
jayraj singh arora / husain najmi,shreyans baid/ suchit halder,8.0,4.0,4.0,0.0753378026868017,0.13875350192350072,0.09119172749597645,12.273548794053006,6.207025308459114,5.6
mohammed tarik koubaa/ nicolas lenggenhager,koen hageraats / joerg kanonenberg,-24.0,-17.0,7.0,0.07738089294864767,0.1423699455984831,0.09362815611110653,11.923086848631105,6.023954359161142,5.8
patrick moran / leigh sands,leon griffiths/ malte thyregod,-31.0,-25.0,6.0,0.034511672566014326,0.10977026973542738,0.05332632185836759,27.97570374449944,8.109934797557111,-0.4
anna-klara ahlmer / stine jacobsen,stephanie chung / holly ranson,27.0,35.0,8.0,0.0368756135020809,0.09144983447342764,0.05051916874491758,26.11819289307742,9.934956916631354,-4.2
uday shankar gaikwad / sugato thakur,harsha arza / jatin khosya,-15.0,-13.0,2.0,0.11699758587643463,0.11024896691169682,0.11531043113525019,7.547184905645284,8.070379777807291,7.8
lam niloufer,svetlana kasilova,-47.0,-36.0,11.0,0.0695526702998006,0.06195442587811363,0.06765310919437885,13.377593206552515,15.140896890358656,-8.2
saurabh mehta / kranti nanda,yash vardhan chamria / vikram dani,17.0,17.0,0.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
monesh mashruwala / ashutosh avinash pednekar,vishal manchanda / sachin parikh,37.0,39.0,2.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
manish bhati / homiyar dumasia,harsha arza / jatin khosya,6.0,5.0,1.0,0.06786734049622424,0.0818695752154146,0.07136789917602183,13.734627770711516,11.214549756350973,3.6
lalit mohan deo/ roshan mishra,uday shankar gaikwad / sugato thakur,15.0,14.0,1.0,0.13028759658658068,0.0921158487347074,0.12074465962361236,6.675327707311454,9.855895198664332,5.8
husain lunavad / mohammed aliasger vaziri,jayraj singh arora / husain najmi,-2.0,-8.0,6.0,0.04834772700679886,0.09571939780733207,0.06019064470693217,19.683495624507348,9.447203209665412,-6.4
mohammed tarik koubaa/ varinder singh,kamal ghansgamnani / sugato thakur,35.0,43.0,8.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
pauline cavé / adeline kilchenmann,anna-klara ahlmer / stine jacobsen,-17.0,-16.0,1.0,0.10884003325535263,0.09591333766732237,0.10560835935834506,8.187795796183488,9.426078628068634,19.6
sanjeev kumar / ashutosh avinash pednekar,vikramaditya chaufla/ nikhil mansukhani,6.0,16.0,10.0,0.040034712426652574,0.11191617791132906,0.0580050787978217,23.978323544401515,7.935258678975776,-10.2
raghav jatia/ vishal jatia,mansoor jabalpurwala / murtaza misri,13.0,13.0,0.0,0.03812869010882857,0.1336061021454703,0.061998043117989,25.226969695149673,6.484688078926217,-10.0
mohammed tarik koubaa/ nicolas lenggenhager,patrick moran / leigh sands,23.0,27.0,4.0,0.052399237175597184,0.10908584979632267,0.06657089033077855,18.084247288731703,8.167091807664594,-1.6
koen hageraats / joerg kanonenberg,leon griffiths/ malte thyregod,-1.0,0.0,1.0,0.06696071007807147,0.11261344765234163,0.078373894471639,13.934130758680285,7.879934153931451,-9.2
renu dalal,sejal haribhakti mody,30.0,28.0,2.0,0.035977018150555824,0.05075418629482474,0.03967131018662305,26.795522013948524,18.702808241100048,17.0
chandrashekhar pitre/ raja seetharaman,ish kohli / win kohli,15.0,22.0,7.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
kamal ghansgamnani / sugato thakur,yash vardhan chamria / vikram dani,-27.0,-30.0,3.0,0.10065097870973452,0.1136878247189205,0.10391019021203102,8.935323161475472,7.796016657653359,-1.6
mohammed tarik koubaa/ varinder singh,saurabh mehta / kranti nanda,22.0,32.0,10.0,0.044696972382246763,0.10883961555114657,0.060732633174471716,21.372880011828073,8.187831057066477,-1.0
monesh mashruwala / ashutosh avinash pednekar,nikhil bhandare / animesh kejriwal,22.0,22.0,0.0,0.06625162083565217,0.12891462374060064,0.08191737156188929,14.093970341958293,6.757071858753429,23.6
manish bhati / homiyar dumasia,sanjay mahadev bawle/ vineet baya,-13.0,-1.0,12.0,0.05028937862608425,0.1057944095989257,0.06416563636929462,18.8849146145806,8.452295294156588,5.6
patrick moran / bani singh,arjun bali / sarvapriya jhawar,-1.0,4.0,5.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
animesh kejriwal / riya arolkar,roshan mishra / shivani jotshi,42.0,27.0,15.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
skand swarup,prashant sen,-1.0,-2.0,1.0,0.10339344144840323,0.0669759053618375,0.0942890574267618,8.67179335547152,13.93074254983934,18.0
sergei seregin / svetlana kasilova,leon griffiths / stephanie chung,-47.0,-46.0,1.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
saurabh mehta / kranti nanda,nikhil bhandare / animesh kejriwal,6.0,3.0,3.0,0.05005535656209582,0.08906795933467407,0.05980850725524038,18.977881862842334,10.227381961705067,9.2
mohammed tarik koubaa/ varinder singh,monesh mashruwala / ashutosh avinash pednekar,-5.0,-7.0,2.0,0.045794871237008046,0.12603518097100003,0.06585494867050604,20.836506425022407,6.93429257050136,9.2
