p1_name,p2_name,y_true,y_pred_catboost,abs_error,consistency_confidence,neighbor_target_std,mean_neighbor_distance,local_mean_target
tze ho ho,steffen neumann,2.0,-7.0,9.0,0.05973575091571081,15.7403938959608,5.790707640741681,-0.2
ari kujala,graham cain,1.0,2.0,1.0,0.04603429687980065,20.72293415518179,2.0921049390382684,-9.4
luke griffiths,jimmy tay,20.0,27.0,7.0,0.05378973784799903,17.590906741836815,3.4824065100327815,11.4
christian wiessner,dan busby,17.0,14.0,3.0,0.06499370949059795,14.386104406683556,4.357426086900899,-2.8
mervyn kelly,christian baus,-7.0,-2.0,5.0,0.04763265899220057,19.993999099729898,1.7536814712175737,8.8
jari kortelainen,peter sákovics,-26.0,-29.0,3.0,0.11366948956266174,7.797435475847171,3.9030997983148965,-33.0
steen hesselbjerg,harri kilpinen,-6.0,0.0,6.0,0.050532208528840106,18.78935869049287,2.196627468510396,-4.4
esko kumpulainen,duncan marlow,-31.0,-21.0,10.0,0.15856405245098082,5.30659966456864,3.5661451462321723,-24.2
noah mamié,lucas steyer,14.0,-9.0,23.0,0.04383672454463948,21.81192334481304,2.597078820628357,-9.8
ricky hardcastle,david björkryd,10.0,11.0,1.0,0.07251304775064936,12.790621564255586,1.5226146487464014,-6.0
gregor meyer,sven reiter,17.0,13.0,4.0,0.06226696402840282,15.05988047761336,4.445976170502741,22.0
levente nándori,jörgen ström,24.0,42.0,18.0,0.08859077565518264,10.287856919689348,3.581757471210242,27.4
dariusz adam walczak,györgy janzer,-45.0,-42.0,3.0,0.2168682738416576,3.6110940170535577,5.489769334760306,-23.6
cornelius radermacher,jesper hedlund,17.0,16.0,1.0,0.08086285328164007,11.366617790706258,3.936512120557559,12.0
bastian böhm,sylvain ternon,-32.0,-4.0,28.0,0.05537849926947274,17.05754964817632,3.3687416248531115,-22.8
nikhil mansukhani,patrik pluskal,-6.0,1.0,7.0,0.10775749878321166,8.280096617793781,2.0733431529753212,1.8
jean baptiste marx,logan macey,12.0,23.0,11.0,0.045602859351158695,20.92844953645635,1.1688793888887716,14.0
varun motasha,marcin siperek,-7.0,-2.0,5.0,0.03698018981161554,26.041505332833587,2.862097698024626,19.8
mohammad shahzad,magnus eliasson,-43.0,-40.0,3.0,0.029286231178694166,33.145738790981866,2.544512647570021,-11.4
filip westgaard,charles loevenbruck,-31.0,-8.0,23.0,0.06607792209319684,14.133647795243801,2.6889759362156243,-21.2
kresten hougaard,matthew davidson,7.0,19.0,12.0,0.07778590046018304,11.855800268223145,3.067766821400802,-15.2
clarissa steiner,ellie thomas,-13.0,-8.0,5.0,0.04887902276858507,19.458674158328463,3.616797942366169,-11.4
johan bret,christoph latzke,-6.0,1.0,7.0,0.0704676644986874,13.19090595827292,1.4276001381434726,-2.0
ishan bairoliya,thomas klaiber,3.0,12.0,9.0,0.03364340266840692,28.72350953487404,1.5899107662045084,11.4
michael lechner,christoph steckermeier,30.0,24.0,6.0,0.0695526702998006,13.377593206552515,2.478573197822989,30.8
