y_true,y_pred,abs_error,knn_confidence,radius_confidence,knn_mean_neighbor_distance,radius_neighbor_count,radius_neighbor_target_std
33.0,23.307203644100827,9.692796355899173,0.2928257144199675,0.6538461538461539,2.4150006326487117,17.0,20.31533417810709
13.0,-3.357696250677317,16.357696250677318,0.3403189568214904,0.8163265306122449,1.9384199144819785,40.0,17.966357449410832
-11.0,-25.37085579521111,14.37085579521111,0.206137514264685,0.25,3.8511305841981707,3.0,7.874007874011811
49.0,10.242508037387825,38.75749196261218,0.3712352498817578,0.91,1.693709717270949,91.0,20.792962777117594
4.0,16.65022784985875,12.650227849858751,0.23202266122599494,0.35714285714285715,3.309923844145461,5.0,5.979966555090422
-22.0,6.601189997440856,28.601189997440855,0.19819999375871042,0.18181818181818182,4.045408836982127,2.0,24.5
19.0,-16.811719035172427,35.81171903517243,0.1370627276606774,0.1,6.295929513935209,1.0,0.0
39.0,23.924997447349554,15.075002552650446,0.2180975885959954,0.25,3.5851034229103877,3.0,8.640987597877148
40.0,8.123848327578035,31.876151672421965,0.2944537533398933,0.6785714285714286,2.3961190463946362,19.0,19.5364564390246
15.0,-9.540810649626568,24.540810649626568,0.2840237827437897,0.7428571428571429,2.5208319188610813,26.0,21.497660530486186
2.0,-1.062167240220985,3.062167240220985,0.2890149868358654,0.8392857142857143,2.4600281838253264,47.0,22.141566824404393
49.0,36.31975678490443,12.680243215095572,0.15898342049421793,0.0,5.289964053430143,0.0,
22.0,17.550802651876747,4.449197348123253,0.21296728894827033,0.3076923076923077,3.695556791554498,4.0,8.584142356694699
45.0,28.59217341473761,16.40782658526239,0.2404751420208477,0.47058823529411764,3.158433971995768,8.0,5.361902647381804
32.0,31.34023687773625,0.659763122263751,0.1773113076914495,0.1,4.63979823407632,1.0,0.0
11.0,1.1075211399470122,9.892478860052988,0.27445740687959835,0.71875,2.6435526057370704,23.0,20.90748366843642
-22.0,-9.969001350597015,12.030998649402985,0.20257151039619936,0.25,3.936528330386394,3.0,4.96655480858378
17.0,-7.661636683372217,24.661636683372215,0.1974876062778023,0.18181818181818182,4.06360889601,2.0,15.5
16.0,-5.068792819908544,21.068792819908545,0.15751384860429504,0.0,5.348648127519197,0.0,
9.0,1.8012626172151391,7.198737382784861,0.271988043183647,0.6086956521739131,2.6766322088827907,14.0,19.055236572037792
-6.0,-10.949047841465493,4.949047841465493,0.2708237638100663,0.6086956521739131,2.692438159530633,14.0,18.60943912346087
3.0,-3.2188889261818296,6.21888892618183,0.24230635771638037,0.4375,3.12700685786586,7.0,12.46546249049913
15.0,-14.069984668169898,29.069984668169898,0.23387639207159658,0.47058823529411764,3.275762898265807,8.0,21.12463017427761
20.0,15.791345744058379,4.208654255941621,0.2520863909993781,0.5,2.9668940319847223,9.0,22.424083173517698
27.0,27.93505075247659,0.9350507524765916,0.2876616348204352,0.6086956521739131,2.4763064620147284,14.0,24.992651981356936
-9.0,-3.6769133443047637,5.323086655695237,0.22773107281527233,0.35714285714285715,3.391144289787656,5.0,13.99142594591416
21.0,8.628709305004929,12.371290694995071,0.27221284886172964,0.6785714285714286,2.6735958797740276,19.0,12.782432543043265
30.0,39.559184319159584,9.559184319159584,0.22155014015635702,0.3076923076923077,3.5136509473397717,4.0,10.594810050208546
4.0,2.2285214520922323,1.7714785479077677,0.47197772324018794,0.9366197183098591,1.1187440651539038,133.0,22.156168688560786
18.0,18.15699360182289,0.15699360182289013,0.14183300101240512,0.1,6.050545309356721,1.0,0.0
-9.0,-2.868174504559722,6.131825495440278,0.2751009130118858,0.7272727272727273,2.6350297389118253,24.0,21.083168642308014
16.0,-0.9594730265018243,16.959473026501826,0.23491294497621712,0.5,3.2568961029424806,9.0,12.278657585370048
33.0,16.250251695647467,16.749748304352533,0.22891317628306565,0.4,3.368468500753476,6.0,26.558112382722786
-17.0,-4.561094249813292,12.43890575018671,0.29898414825023895,0.7,2.3446589254057577,21.0,18.80705227885277
-11.0,6.793227793085461,17.79322779308546,0.4205601033635973,0.9174311926605505,1.3777814205439385,100.0,20.306341374063425
10.0,6.71504877879871,3.2849512212012897,0.09889882779019743,0.0,9.111343302484695,0.0,
-21.0,11.00043363078833,32.00043363078833,0.32196409628731665,0.75,2.105936380892647,27.0,26.623782390030808
-31.0,-14.634226347940979,16.36577365205902,0.3454933811394963,0.8392857142857143,1.8944114550091495,47.0,21.798534303521457
25.0,-4.297761317278459,29.297761317278457,0.26034060076735,0.5714285714285714,2.841121965043159,12.0,15.317927042811274
22.0,-0.0521279982659645,22.052127998265963,0.23565678559710862,0.4,3.2434593914458847,6.0,20.957629212824198
-47.0,-19.103559920109255,27.896440079890745,0.2951257043020538,0.7692307692307693,2.3883866617613383,30.0,16.55512676551352
-36.0,-18.006999798084706,17.993000201915294,0.13934242584395293,0.0,6.176565169892204,0.0,
12.0,21.657926545230346,9.657926545230346,0.246803140012291,0.5,3.051812306562223,9.0,11.83007258151659
-21.0,-11.637119641970305,9.362880358029695,0.20413798560322624,0.25,3.898647339176035,3.0,4.96655480858378
22.0,3.892002956164567,18.107997043835432,0.1312260444069171,0.1,6.620438492370564,1.0,0.0
20.0,8.041951120197378,11.958048879802622,0.25582601496539853,0.5263157894736842,2.9089066064499107,10.0,18.264993840677857
10.0,3.1092800011322104,6.890719998867789,0.3029925233415421,0.8043478260869565,2.300411472110058,37.0,19.22326627810246
4.0,2.4866456229303875,1.5133543770696125,0.2154090710096664,0.3076923076923077,3.6423300342589817,4.0,12.173228823939851
28.0,-7.757975900909978,35.757975900909976,0.2516682628984723,0.55,2.973484731379971,11.0,19.187203035632333
11.0,9.126577549105352,1.8734224508946475,0.337631859447593,0.7272727272727273,1.9618058012538337,24.0,21.822794848506458
